ㄅ CH_b-CH_@
ㄋㄧㄣ CH_n-CH_i-CH_n#

ㄋㄧㄤ CH_n-CH_i-CH_a-CH_N#

ㄋㄧㄥ CH_n-CH_i-CH_N#

ㄋㄨ CH_n-CH_u

ㄋㄨㄛ CH_n-CH_u-CH_o

ㄋㄨㄢ CH_n-CH_u-CH_a-CH_n#

ㄋㄨㄥ CH_n-CH_o-CH_N#

ㄋㄩ CH_n-CH_y

ㄋㄩㄝ CH_n-CH_y-CH_E

ㄌㄚ CH_l-CH_a

ㄌㄛ CH_l-CH_o

ㄌㄜ CH_l-CH_@

ㄌㄞ CH_l-CH_a-CH_i

ㄌㄟ CH_l-CH_e-CH_i

ㄌㄠ CH_l-CH_a-CH_u

ㄌㄡ CH_l-CH_o-CH_u

ㄌㄢ CH_l-CH_a-CH_n#

ㄌㄤ CH_l-CH_a-CH_N#

ㄌㄥ CH_l-CH_@-CH_N#

ㄌㄧ CH_l-CH_i

ㄌㄧㄚ CH_l-CH_i-CH_a

ㄌㄧㄝ CH_l-CH_i-CH_E

ㄌㄧㄠ CH_l-CH_i-CH_a-CH_u

ㄌㄧㄡ CH_l-CH_i-CH_o-CH_u

ㄌㄧㄢ CH_l-CH_i-CH_E-CH_n#

ㄌㄧㄣ CH_l-CH_i-CH_n#

ㄌㄧㄤ CH_l-CH_i-CH_a-CH_N#

ㄌㄧㄥ CH_l-CH_i-CH_N#

ㄌㄨ CH_l-CH_u

ㄌㄨㄛ CH_l-CH_u-CH_o

ㄌㄨㄢ CH_l-CH_u-CH_a-CH_n#

ㄌㄨㄣ CH_l-CH_u-CH_@-CH_n#

ㄌㄨㄥ CH_l-CH_o-CH_N#

ㄌㄩ CH_l-CH_y

ㄌㄩㄝ CH_l-CH_y-CH_E

ㄌㄩㄢ CH_l-CH_y-CH_E-CH_n#

ㄌㄩㄣ CH_l-CH_y-CH_n#

ㄍㄚ CH_g-CH_a

ㄍㄜ CH_g-CH_@

ㄍㄞ CH_g-CH_a-CH_i

ㄍㄟ CH_g-CH_e-CH_i

ㄍㄠ CH_g-CH_a-CH_u

ㄍㄡ CH_g-CH_o-CH_u

ㄍㄢ CH_g-CH_a-CH_n#

ㄍㄣ CH_g-CH_@-CH_n#

ㄍㄤ CH_g-CH_a-CH_N#

ㄍㄥ CH_g-CH_@-CH_N#

ㄍㄨ CH_g-CH_u

ㄍㄨㄚ CH_g-CH_u-CH_a

ㄍㄨㄛ CH_g-CH_u-CH_o

ㄍㄨㄞ CH_g-CH_u-CH_a-CH_i

ㄍㄨㄟ CH_g-CH_u-CH_e-CH_i

ㄍㄨㄢ CH_g-CH_u-CH_a-CH_n#

ㄍㄨㄣ CH_g-CH_u-CH_@-CH_n#

ㄍㄨㄤ CH_g-CH_u-CH_a-CH_N#

ㄍㄨㄥ CH_g-CH_o-CH_N#

ㄎㄚ CH_k-CH_a

ㄎㄜ CH_k-CH_@

ㄎㄞ CH_k-CH_a-CH_i

ㄎㄠ CH_k-CH_a-CH_u

ㄎㄡ CH_k-CH_o-CH_u

ㄎㄢ CH_k-CH_a-CH_n#

ㄎㄣ CH_k-CH_@-CH_n#

ㄎㄤ CH_k-CH_a-CH_N#

ㄎㄥ CH_k-CH_@-CH_N#

ㄎㄨ CH_k-CH_u

ㄎㄨㄚ CH_k-CH_u-CH_a

ㄎㄨㄛ CH_k-CH_u-CH_o

ㄎㄨㄞ CH_k-CH_u-CH_a-CH_i

ㄎㄨㄟ CH_k-CH_u-CH_e-CH_i

ㄎㄨㄢ CH_k-CH_u-CH_a-CH_n#

ㄎㄨㄣ CH_k-CH_u-CH_@-CH_n#

ㄎㄨㄤ CH_k-CH_u-CH_a-CH_N#

ㄎㄨㄥ CH_k-CH_o-CH_N#

ㄏㄚ CH_h-CH_a

ㄏㄜ CH_h-CH_@

ㄏㄞ CH_h-CH_a-CH_i

ㄏㄟ CH_h-CH_e-CH_i

ㄏㄠ CH_h-CH_a-CH_u

ㄏㄡ CH_h-CH_o-CH_u

ㄏㄢ CH_h-CH_a-CH_n#

ㄏㄣ CH_h-CH_@-CH_n#

ㄏㄤ CH_h-CH_a-CH_N#

ㄏㄥ CH_h-CH_@-CH_N#

ㄏㄨ CH_h-CH_u

ㄏㄨㄚ CH_h-CH_u-CH_a

ㄏㄨㄛ CH_h-CH_u-CH_o

ㄏㄨㄞ CH_h-CH_u-CH_a-CH_i

ㄏㄨㄟ CH_h-CH_u-CH_e-CH_i

ㄏㄨㄢ CH_h-CH_u-CH_a-CH_n#

ㄏㄨㄣ CH_h-CH_u-CH_@-CH_n#

ㄏㄨㄤ CH_h-CH_u-CH_a-CH_N#

ㄏㄨㄥ CH_h-CH_o-CH_N#

ㄐㄧ CH_dz|-CH_i

ㄐㄧㄚ CH_dz|-CH_i-CH_a

ㄐㄧㄝ CH_dz|-CH_i-CH_E

ㄐㄧㄠ CH_dz|-CH_i-CH_a-CH_u

ㄐㄧㄡ CH_dz|-CH_i-CH_o-CH_u

ㄐㄧㄢ CH_dz|-CH_i-CH_E-CH_n#

ㄐㄧㄣ CH_dz|-CH_i-CH_n#

ㄐㄧㄤ CH_dz|-CH_i-CH_a-CH_N#

